"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"2005-03-04",6.108572,6.144286,5.978571,6.115714,189154700,5.321289
"2005-03-07",6.114286,6.178571,6.05,6.107143,112658000,5.313831
"2005-03-08",5.985714,6.022857,5.728571,5.79,255362800,5.037884
"2005-03-09",5.662857,5.754286,5.547143,5.621428,330616300,4.89121
"2005-03-10",5.647143,5.751429,5.585714,5.69,194277300,4.950873
"2005-03-11",5.744286,5.798572,5.685714,5.752857,158207700,5.005567
"2005-03-14",5.788571,5.827143,5.645714,5.76,151346300,5.011782
"2005-03-15",5.805714,5.877143,5.75,5.851429,127152200,5.091333
"2005-03-16",5.887143,6.044286,5.825714,5.882857,174453300,5.11868
"2005-03-17",5.932857,6.125714,5.902857,6.035714,200480000,5.251681
"2005-03-18",6.19,6.205714,6.071429,6.137143,235037600,5.339933
"2005-03-21",6.184286,6.281428,6.122857,6.242857,135282000,5.431916
"2005-03-22",6.244286,6.28,6.097143,6.118571,137853800,5.323774
"2005-03-23",6.064286,6.2,6.002857,6.078571,152455800,5.28897
"2005-03-24",6.13,6.142857,6.071429,6.071429,88176200,5.282756
"2005-03-28",6.107143,6.137143,6.067143,6.075714,68852700,5.286485
"2005-03-29",6.08,6.118571,5.928571,5.964286,115339000,5.189531
"2005-03-30",6.01,6.114286,5.974286,6.114286,98739900,5.320045
"2005-03-31",6.064286,6.074286,5.941429,5.952857,159033700,5.179587
"2005-04-01",6.012857,6.025714,5.795714,5.841429,160321000,5.082634
"2005-04-04",5.855714,5.901429,5.737143,5.87,145003600,5.107493
"2005-04-05",5.888571,6.034286,5.87,5.984286,139059900,5.206933
"2005-04-06",6.057143,6.115714,6.021429,6.047143,103706400,5.261624
"2005-04-07",6.047143,6.25,6.035714,6.222857,126746900,5.414514
"2005-04-08",6.242857,6.35,6.22,6.248571,162487500,5.436889
"2005-04-11",6.307143,6.321429,5.987143,5.988572,205415700,5.210661
"2005-04-12",6.07,6.17,6.001429,6.094285,245265300,5.302645
"2005-04-13",6.135714,6.141428,5.77,5.862857,342986700,5.101277
"2005-04-14",5.544286,5.651429,5.262857,5.322857,688298100,4.631424
"2005-04-15",5.231429,5.321429,5.04,5.05,432021800,4.39401
"2005-04-18",5,5.185714,4.857143,5.088572,331794400,4.427571
"2005-04-19",5.228571,5.348571,5.124286,5.298572,270410700,4.610293
"2005-04-20",5.38,5.391428,5.062857,5.072857,236282900,4.413898
"2005-04-21",5.2,5.315714,5.128572,5.311429,189898100,4.62148
"2005-04-22",5.262857,5.285714,4.985714,5.071429,209782300,4.412655
"2005-04-25",5.212857,5.288571,5.158571,5.282857,186615100,4.596619
"2005-04-26",5.254286,5.358572,5.16,5.17,202626900,4.498421
"2005-04-27",5.127143,5.194286,5.072857,5.135714,153472200,4.46859
"2005-04-28",5.184286,5.191429,5.034286,5.077143,143776500,4.417625
"2005-04-29",5.164286,5.175714,5.031428,5.151429,167907600,4.482263
"2005-05-02",5.172857,5.235714,5.145714,5.204286,116480000,4.528253
"2005-05-03",5.2,5.248571,5.147143,5.172857,124184900,4.500908
"2005-05-04",5.158571,5.314286,5.157143,5.307143,112044100,4.61775
"2005-05-05",5.321429,5.324286,5.21,5.24,96841500,4.559331
"2005-05-06",5.27,5.332857,5.255714,5.32,81561900,4.628938
"2005-05-09",5.325714,5.35,5.25,5.281428,88923800,4.595376
"2005-05-10",5.25,5.321429,5.19,5.202857,110065900,4.527011
"2005-05-11",5.028572,5.095714,4.73,5.087143,510495300,4.426327
"2005-05-12",5.06,5.084286,4.857143,4.875714,242560500,4.242364
"2005-05-13",4.885714,5.032857,4.867143,4.967143,175678300,4.321916
"2005-05-16",4.937143,5.1,4.932857,5.078571,118573700,4.41887
"2005-05-17",5.02,5.065714,4.934286,5.051429,147086100,4.395254
"2005-05-18",5.064286,5.365714,4.998571,5.12,159180700,4.454917
"2005-05-19",5.111429,5.382857,5.111429,5.364286,198290400,4.66747
"2005-05-20",5.321429,5.378572,5.312857,5.364286,113162700,4.66747
"2005-05-23",5.407143,5.7,5.407143,5.68,260643600,4.942172
"2005-05-24",5.635714,5.712857,5.575714,5.671429,148365000,4.934716
"2005-05-25",5.642857,5.707143,5.617143,5.682857,99001700,4.944659
"2005-05-26",5.705714,5.848571,5.705714,5.82,131380200,5.063988
"2005-05-27",5.805714,5.827143,5.715714,5.794286,79002000,5.041613
"2005-05-31",5.808571,5.82,5.654286,5.68,101051300,4.942172
"2005-06-01",5.698571,5.822857,5.694286,5.757143,113453200,5.009296
"2005-06-02",5.721428,5.76,5.657143,5.72,93493400,4.976976
"2005-06-03",5.451428,5.511428,5.395714,5.462857,239217300,4.753237
"2005-06-06",5.475714,5.518571,5.365714,5.417143,202991600,4.713459
"2005-06-07",5.371428,5.39,5.207143,5.22,186316200,4.541927
"2005-06-08",5.232857,5.321429,5.224286,5.274286,101001600,4.58916
"2005-06-09",5.285714,5.42,5.26,5.378572,97563900,4.6799
"2005-06-10",5.342857,5.342857,5.074286,5.115714,169733200,4.451187
"2005-06-13",5.127143,5.23,5.117143,5.128572,108943100,4.462374
"2005-06-14",5.131429,5.164286,5.107143,5.142857,86961700,4.474804
"2005-06-15",5.267143,5.328571,5.185714,5.304286,140835800,4.615263
"2005-06-16",5.312857,5.44,5.26,5.425714,136918600,4.72092
"2005-06-17",5.495714,5.505714,5.404286,5.472857,149031400,4.761939
"2005-06-20",5.407143,5.441429,5.35,5.372857,80929100,4.674929
"2005-06-21",5.388571,5.455714,5.34,5.408571,92631700,4.706003
"2005-06-22",5.465714,5.514286,5.448571,5.507143,106231300,4.79177
"2005-06-23",5.547143,5.682857,5.521429,5.555714,168563500,4.834032
"2005-06-24",5.584286,5.588572,5.382857,5.394286,102677400,4.693573
"2005-06-27",5.262857,5.442857,5.24,5.3,150042900,4.611535
"2005-06-28",5.355714,5.37,5.31,5.33,87574900,4.637638
"2005-06-29",5.318572,5.327143,5.16,5.195714,112089600,4.520796
"2005-06-30",5.23,5.308571,5.187143,5.258572,104597500,4.575488
"2005-07-01",5.261428,5.281428,5.184286,5.214286,62500200,4.536955
"2005-07-05",5.221428,5.45,5.214286,5.425714,113567300,4.72092
"2005-07-06",5.387143,5.451428,5.314286,5.341429,98656600,4.647583
"2005-07-07",5.258572,5.394286,5.257143,5.375714,95930800,4.677414
"2005-07-08",5.41,5.468572,5.352857,5.464286,72683800,4.754479
"2005-07-11",5.481429,5.521429,5.397143,5.442857,97197100,4.735834
"2005-07-12",5.461429,5.485714,5.415714,5.462857,96759600,4.753237
"2005-07-13",5.47,5.5,5.414286,5.478571,171208800,4.766909
"2005-07-14",5.827143,6.001429,5.747143,5.821429,524015100,5.065231
"2005-07-15",5.852857,5.938571,5.78,5.935714,171920700,5.164671
"2005-07-18",5.915714,6.014286,5.91,5.927143,146574400,5.157213
"2005-07-19",5.931428,6.175714,5.867143,6.17,167765500,5.368523
"2005-07-20",6.122857,6.257143,6.092857,6.232857,113348900,5.423215
"2005-07-21",6.242857,6.291429,6.128572,6.184286,101066000,5.380952
"2005-07-22",6.205714,6.285714,6.198571,6.285714,75276600,5.469206
"2005-07-25",6.284286,6.325714,6.247143,6.258572,73656800,5.445589
"2005-07-26",6.287143,6.301429,6.194286,6.232857,67148200,5.423215
"2005-07-27",6.261428,6.295714,6.095714,6.284286,70937300,5.467962
"2005-07-28",6.264286,6.285714,6.185714,6.257143,62827800,5.444345
"2005-07-29",6.222857,6.34,6.037143,6.092857,140520100,5.301401
"2005-08-01",6.081429,6.154286,6.011428,6.107143,78562400,5.313831
"2005-08-02",6.127143,6.214286,6.087143,6.17,74218900,5.368523
"2005-08-03",6.17,6.187143,6.11,6.174286,64580600,5.372252
"2005-08-04",6.127143,6.142857,6.041429,6.101429,67326000,5.308859
"2005-08-05",6.07,6.194286,6.002857,6.141428,60482800,5.343662
"2005-08-08",6.142857,6.178571,6.087143,6.092857,44095800,5.301401
"2005-08-09",6.132857,6.27,6.13,6.26,95209800,5.446831
"2005-08-10",6.285714,6.341429,6.187143,6.197143,90236300,5.39214
"2005-08-11",6.198571,6.302857,6.178571,6.285714,67995900,5.469206
"2005-08-12",6.208571,6.602857,6.194286,6.585714,229009200,5.730236
"2005-08-15",6.64,6.904286,6.635714,6.811429,271681900,5.92663
"2005-08-16",6.77,6.785714,6.601429,6.607143,134405600,5.74888
"2005-08-17",6.628572,6.777143,6.624286,6.735714,124931100,5.860752
"2005-08-18",6.701428,6.714286,6.535714,6.614286,110639900,5.755096
"2005-08-19",6.611429,6.671429,6.538571,6.547143,94142300,5.696675
"2005-08-22",6.592857,6.678571,6.465714,6.552857,96933200,5.701648
"2005-08-23",6.55,6.585714,6.474286,6.534286,73901100,5.685487
"2005-08-24",6.514286,6.731429,6.512857,6.538571,143017700,5.689217
"2005-08-25",6.588572,6.641428,6.544286,6.58,69063400,5.725265
"2005-08-26",6.588572,6.62,6.48,6.534286,65264500,5.685487
"2005-08-29",6.467143,6.575714,6.465714,6.548572,64073800,5.697919
"2005-08-30",6.57,6.684286,6.56,6.652857,129690400,5.788656
"2005-08-31",6.694286,6.718572,6.61,6.698571,100739100,5.828433
"2005-09-01",6.714286,6.738572,6.584286,6.608572,89091800,5.750124
"2005-09-02",6.614286,6.685714,6.588572,6.602857,55594700,5.745153
"2005-09-06",6.671429,6.982857,6.65,6.971428,204654800,6.065846
"2005-09-07",7.007143,7.057143,6.845714,6.954286,240768500,6.05093
"2005-09-08",7.05,7.16,7.02,7.111429,175660100,6.187659
"2005-09-09",7.152857,7.335714,7.112857,7.33,153910400,6.37784
"2005-09-12",7.3,7.375714,7.225714,7.342857,113199100,6.389028
"2005-09-13",7.288571,7.327143,7.188571,7.26,123221000,6.316933
"2005-09-14",7.294286,7.312857,7.065714,7.087143,118606600,6.16653
"2005-09-15",7.142857,7.168571,7.047143,7.124286,103789000,6.198848
"2005-09-16",7.175714,7.315714,7.135714,7.315714,147751100,6.36541
"2005-09-19",7.292857,7.555714,7.292857,7.52,195932800,6.543159
"2005-09-20",7.57,7.687143,7.56,7.598571,204957200,6.611523
"2005-09-21",7.565714,7.578571,7.408571,7.444286,108686900,6.477279
"2005-09-22",7.411428,7.495714,7.331429,7.414286,115931900,6.451177
"2005-09-23",7.442857,7.642857,7.405715,7.6,139614300,6.612768
"2005-09-26",7.718572,7.794286,7.617143,7.691429,136640700,6.692319
"2005-09-27",7.702857,7.748571,7.632857,7.634286,85425900,6.642599
"2005-09-28",7.581429,7.587143,7.227143,7.297143,281386000,6.349251
"2005-09-29",7.318572,7.512857,7.258572,7.477143,159211500,6.505869
"2005-09-30",7.475714,7.664286,7.411428,7.658571,132908300,6.663731
"2005-10-03",7.737143,7.791429,7.668571,7.777143,126888300,6.7669
"2005-10-04",7.85,7.907143,7.662857,7.678571,134864800,6.681131
"2005-10-05",7.761428,7.765714,7.535714,7.54,152692400,6.560561
"2005-10-06",7.6,7.641428,7.267143,7.385714,189384300,6.426316
"2005-10-07",7.388571,7.418571,7.221428,7.328571,169470700,6.376597
"2005-10-10",7.394286,7.415714,7.182857,7.195714,126876400,6.260998
"2005-10-11",7.318572,7.41,7.2,7.37,306471200,6.412643
"2005-10-12",6.95,7.185714,6.838572,7.035714,674371600,6.121783
"2005-10-13",7.062857,7.707143,7.038571,7.677143,466393900,6.67989
"2005-10-14",7.718572,7.764286,7.541429,7.714286,258888000,6.712208
"2005-10-17",7.711429,7.747143,7.525714,7.634286,154208600,6.642599
"2005-10-18",7.607143,7.707143,7.457143,7.458571,152397000,6.48971
"2005-10-19",7.438571,7.851429,7.315714,7.848571,252170800,6.829049
"2005-10-20",7.781428,8.071428,7.764286,8.02,339440500,6.978209
"2005-10-21",8.12,8.14,7.908571,7.951428,199181500,6.918545
"2005-10-24",7.892857,8.112857,7.87,8.112857,152438300,7.059004
"2005-10-25",8.057143,8.121428,7.955714,8.014286,116281900,6.973238
"2005-10-26",8.04,8.222857,7.988572,8.147142,157898300,7.088835
"2005-10-27",8.141429,8.144286,7.915714,7.915714,102885300,6.887471
"2005-10-28",8.005714,8.061429,7.738572,7.781428,192446800,6.770627
"2005-10-31",7.885714,8.282857,7.821429,8.227143,235211200,7.158445
"2005-11-01",8.177143,8.305715,8.124286,8.214286,187421500,7.147258
"2005-11-02",8.245714,8.571428,8.228572,8.564285,214265100,7.451794
"2005-11-03",8.608571,8.902857,8.581429,8.835714,221095700,7.687963
"2005-11-04",8.621428,8.748571,8.517143,8.735714,219508800,7.600954
"2005-11-07",8.692857,8.81,8.591429,8.604285,159707800,7.486598
"2005-11-08",8.564285,8.625714,8.442857,8.557143,118441400,7.445579
"2005-11-09",8.571428,8.744286,8.571428,8.587143,138232500,7.471682
"2005-11-10",8.662857,8.742857,8.43,8.74,166336100,7.604683
"2005-11-11",8.791429,8.872857,8.762857,8.791429,106362200,7.649428
"2005-11-14",8.791429,8.854285,8.701428,8.778571,92483300,7.638243
"2005-11-15",8.8,9.011429,8.78,8.897142,134210300,7.741411
"2005-11-16",9.021428,9.294286,9.012857,9.278571,196128800,8.073296
"2005-11-17",9.37,9.411428,9.178572,9.217143,169051400,8.019844
"2005-11-18",9.33,9.347143,9.195714,9.222857,131240200,8.024817
"2005-11-21",9.26,9.312857,9.102858,9.28,127927800,8.074535
"2005-11-22",9.262857,9.537143,9.217143,9.502857,135070600,8.268446
"2005-11-23",9.554286,9.711429,9.527143,9.587143,121463300,8.341781
"2005-11-25",9.665714,9.934286,9.642858,9.905714,98753200,8.618972
"2005-11-28",10.102858,10.152857,9.867143,9.951428,254629900,8.658745
"2005-11-29",9.998571,10.042857,9.621428,9.728572,222858300,8.46484
"2005-11-30",9.775714,9.835714,9.645715,9.688571,148918700,8.430035
"2005-12-01",9.85,10.247143,9.83,10.228572,203223300,8.899891
"2005-12-02",10.324286,10.391429,10.1,10.375714,223940500,9.02792
"2005-12-05",10.278571,10.361428,10.212857,10.26,145917800,8.927236
"2005-12-06",10.561429,10.69,10.478572,10.578571,214257400,9.204425
"2005-12-07",10.604285,10.637143,10.445714,10.564285,169866200,9.191995
"2005-12-08",10.457143,10.595715,10.371428,10.582857,197619800,9.208156
"2005-12-09",10.601429,10.655714,10.478572,10.618571,138850600,9.239229
"2005-12-12",10.695714,10.764286,10.651428,10.701428,131248600,9.311321
"2005-12-13",10.692857,10.78,10.601429,10.711429,123454100,9.320022
"2005-12-14",10.361428,10.471429,10.038571,10.287143,362679100,8.950854
"2005-12-15",10.382857,10.408571,10.192857,10.311429,140290500,8.971983
"2005-12-16",10.305715,10.328571,10.151428,10.158571,167792800,8.838981
"2005-12-19",10.158571,10.371428,10.148571,10.197143,132323800,8.872545
"2005-12-20",10.232857,10.34,10.16,10.301429,119777000,8.963281
"2005-12-21",10.371428,10.515715,10.362857,10.5,118934200,9.136061
"2005-12-22",10.558572,10.641429,10.514286,10.574286,92652700,9.200698
"2005-12-23",10.595715,10.608571,10.471429,10.478572,57464400,9.117415
"2005-12-27",10.571428,10.74,10.564285,10.604285,147647500,9.226799
"2005-12-28",10.638572,10.68,10.474286,10.51,99528800,9.14476
"2005-12-29",10.54,10.545714,10.202857,10.207143,122506300,8.881247
"2005-12-30",10.13,10.347143,10.048572,10.27,156065700,8.935935
"2006-01-03",10.34,10.678572,10.321428,10.678572,201808600,9.291433
"2006-01-04",10.732857,10.854285,10.642858,10.71,154900900,9.318783
"2006-01-05",10.69,10.7,10.535714,10.625714,112355600,9.245445
"2006-01-06",10.75,10.957143,10.65,10.9,176114400,9.484099
"2006-01-09",10.961429,11.028571,10.82,10.864285,168760200,9.453025
"2006-01-10",10.892858,11.698571,10.832857,11.551429,569967300,10.050908
"2006-01-11",11.977143,12.114285,11.798572,11.985714,373448600,10.428782
"2006-01-12",12.138572,12.342857,11.945714,12.041429,320202400,10.477259
"2006-01-13",12.141429,12.287143,12.085714,12.227143,194076400,10.638847
"2006-01-17",12.242857,12.34,11.981428,12.101429,208905900,10.529466
"2006-01-18",11.868571,12.007143,11.692857,11.784286,300159300,10.253519
"2006-01-19",11.607142,11.665714,11.248571,11.291429,423962000,9.824683
"2006-01-20",11.325714,11.434286,10.832857,10.87,283689700,9.457997
"2006-01-23",10.871428,11.365714,10.857142,11.095715,264932500,9.654391
"2006-01-24",11.251429,11.345715,10.824286,10.862857,285563600,9.451781
"2006-01-25",11.055715,11.071428,10.464286,10.6,318946600,9.223069
"2006-01-26",10.647142,10.775714,10.275714,10.332857,295346800,8.990631
"2006-01-27",10.421429,10.514286,10.157143,10.29,238466200,8.953339
"2006-01-30",10.167143,10.942857,10.124286,10.714286,349600300,9.322512
"2006-01-31",10.785714,10.905714,10.535714,10.787143,228385500,9.385905
"2006-02-01",10.707143,10.922857,10.662857,10.774285,130296600,9.374719
"2006-02-02",10.728572,10.765715,10.292857,10.3,176830500,8.962039
"2006-02-03",10.32,10.398571,10.148571,10.264286,173030900,8.930966
"2006-02-06",10.288571,10.358571,9.534286,9.614285,412941900,8.365398
"2006-02-07",9.752857,9.925714,9.525714,9.657143,347207700,8.402687
"2006-02-08",9.784286,9.868571,9.428572,9.83,238278600,8.553093
"2006-02-09",9.871428,9.89,9.218572,9.278571,287441000,8.073296
"2006-02-10",9.311429,9.667143,8.985714,9.615714,440119400,8.366641
"2006-02-13",9.518572,9.535714,9.234285,9.244286,220874500,8.043462
"2006-02-14",9.3,9.728572,9.285714,9.662857,290234700,8.40766
"2006-02-15",9.594286,9.945714,9.535714,9.888572,289942800,8.604054
"2006-02-16",9.987143,10.144286,9.925714,10.081429,237043800,8.77186
"2006-02-17",10.042857,10.127143,9.944285,10.041429,143999800,8.737058
"2006-02-21",10.084286,10.114285,9.811429,9.868571,194901700,8.586654
"2006-02-22",9.857142,10.238571,9.714286,10.188571,244559700,8.865085
"2006-02-23",10.255714,10.428572,10.204286,10.25,214229400,8.918536
"2006-02-24",10.305715,10.412857,10.171429,10.208571,133686000,8.882491
"2006-02-27",10.284286,10.302857,10.092857,10.141429,197810200,8.824066
"2006-02-28",10.225715,10.342857,9.728572,9.784286,316745100,8.513318
"2006-03-01",9.834286,9.927143,9.717143,9.871428,190954400,8.58914
"2006-03-02",9.855714,9.998571,9.81,9.944285,156318400,8.652532
"2006-03-03",9.914286,9.987143,9.647142,9.674286,184417100,8.417603
"2006-03-06",9.67,9.674286,9.277143,9.354285,228166400,8.139174
"2006-03-07",9.394286,9.557143,9.297143,9.472857,218219400,8.242341
"2006-03-08",9.47,9.6,9.335714,9.38,163312800,8.161545
"2006-03-09",9.425714,9.495714,9.115714,9.132857,199826200,7.946507
"2006-03-10",9.15,9.212857,8.921429,9.027143,260785700,7.854528
"2006-03-13",9.292857,9.468572,9.255714,9.382857,215296900,8.164035
"2006-03-14",9.395715,9.617143,9.357142,9.617143,160505100,8.367887
"2006-03-15",9.672857,9.72,9.36,9.461429,222999000,8.232397
"2006-03-16",9.55,9.557143,9.185715,9.187143,187409600,7.993742
"2006-03-17",9.25,9.362857,9.158571,9.237143,203010500,8.037247
"2006-03-20",9.317142,9.351429,9.124286,9.141429,151360300,7.953965
"2006-03-21",8.83,9.191428,8.77,8.83,336341600,7.682991
"2006-03-22",8.88,9.035714,8.752857,8.81,336473900,7.66559
"2006-03-23",8.831429,8.842857,8.515715,8.594286,356956600,7.477897
"2006-03-24",8.607142,8.705714,8.432858,8.565714,267995000,7.453035
"2006-03-27",8.621428,8.768572,8.485714,8.501429,277018000,7.397101
"2006-03-28",8.518572,8.591429,8.321428,8.387143,342580700,7.297662
"2006-03-29",8.447143,8.931429,8.238571,8.904285,586708500,7.74763
"2006-03-30",8.974286,9.042857,8.79,8.964286,347662700,7.799834
"2006-03-31",9.035714,9.087143,8.891429,8.96,203839300,7.796105
"2006-04-03",9.095715,9.16,8.944285,8.95,203947800,7.787404
"2006-04-04",8.871428,8.888572,8.721429,8.738571,232981000,7.603441
"2006-04-05",9.244286,9.601429,9.164286,9.601429,558352200,8.354213
"2006-04-06",9.757143,10.292857,9.742857,10.177143,665942200,8.855142
"2006-04-07",10.132857,10.172857,9.781428,9.97,386309700,8.674904
"2006-04-10",10.041429,10.132857,9.778571,9.81,225878800,8.535692
"2006-04-11",9.855714,9.9,9.581429,9.712857,234829000,8.451165
"2006-04-12",9.715714,9.738571,9.471429,9.53,184973600,8.292062
"2006-04-13",9.477143,9.634286,9.401428,9.495714,183669500,8.262229
"2006-04-17",9.501429,9.548572,9.192857,9.258572,180484500,8.055893
"2006-04-18",9.291429,9.495714,9.255714,9.46,198711100,8.231153
"2006-04-19",9.545714,9.571428,9.352858,9.378572,271508300,8.160304
"2006-04-20",9.93,10,9.457143,9.661428,416745700,8.406418
"2006-04-21",9.741428,9.805715,9.495714,9.577143,197246700,8.333083
"2006-04-24",9.55,9.56,9.357142,9.392858,176757000,8.172735
"2006-04-25",9.422857,9.512857,9.365714,9.452857,132265700,8.224937
"2006-04-26",9.521428,9.754286,9.485714,9.735714,177721600,8.471053
"2006-04-27",9.675714,9.98,9.621428,9.908571,211486800,8.621454
"2006-04-28",9.911428,10.185715,9.885715,10.055715,190009400,8.749485
"2006-05-01",10.11,10.22,9.88,9.942857,187595100,8.651289
"2006-05-02",10.021428,10.282857,10.015715,10.231428,192915800,8.902374
"2006-05-03",10.261429,10.278571,10.025714,10.162857,171747800,8.84271
"2006-05-04",10.174286,10.412857,10.065714,10.161428,215105100,8.841469
"2006-05-05",10.265715,10.321428,10.164286,10.27,140977900,8.935935
"2006-05-08",10.427143,10.542857,10.245714,10.27,148712900,8.935935
"2006-05-09",10.26,10.365714,10.088572,10.147142,132916700,8.82904
"2006-05-10",10.184286,10.19,9.944285,10.085714,114972200,8.775588
"2006-05-11",10.112857,10.12,9.65,9.735714,203172200,8.471053
"2006-05-12",9.692857,9.812857,9.551429,9.671429,160443500,8.41512
"2006-05-15",9.624286,9.768572,9.588572,9.684286,132294400,8.426306
"2006-05-16",9.728572,9.75,9.25,9.282857,234185000,8.077022
"2006-05-17",9.244286,9.385715,9.152857,9.322857,188548500,8.111825
"2006-05-18",9.382857,9.465714,9.017143,9.025714,164610600,7.853279
"2006-05-19",9.037143,9.268572,8.974286,9.215714,246466500,8.018602
"2006-05-22",9.124286,9.141429,8.967143,9.054286,179743900,7.878142
"2006-05-23",9.265715,9.312857,9,9.021428,173603500,7.849553
"2006-05-24",8.998571,9.092857,8.794286,9.048572,229007800,7.873172
"2006-05-25",9.18,9.207143,9.041429,9.19,115843000,7.996226
"2006-05-26",9.187143,9.222857,9.02,9.078571,108237500,7.899275
"2006-05-30",9.041429,9.042857,8.745714,8.745714,140850500,7.609657
"2006-05-31",8.822857,8.827143,8.384286,8.538571,320244400,7.429418
"2006-06-01",8.55,8.897142,8.502857,8.881429,235627000,7.727742
"2006-06-02",8.998571,9.014286,8.697143,8.808572,171446800,7.664347
"2006-06-05",8.735714,8.735714,8.567142,8.571428,151446400,7.458006
"2006-06-06",8.602858,8.661428,8.415714,8.531428,181509300,7.423203
"2006-06-07",8.585714,8.628572,8.335714,8.365714,187626600,7.279015
"2006-06-08",8.348572,8.704286,8.164286,8.68,349370700,7.552475
"2006-06-09",8.74,8.794286,8.442857,8.462857,193959500,7.363541
"2006-06-12",8.485714,8.532857,8.137143,8.142858,179446400,7.085111
"2006-06-13",8.23,8.442857,8.194285,8.332857,270160800,7.250426
"2006-06-14",8.325714,8.397142,8.098572,8.23,219534000,7.16093
"2006-06-15",8.185715,8.534286,8.107142,8.482857,297595900,7.380939
"2006-06-16",8.422857,8.455714,8.217143,8.222857,209525400,7.154716
"2006-06-19",8.261429,8.311429,8.142858,8.171429,176143800,7.109967
"2006-06-20",8.23,8.335714,8.184286,8.21,168243600,7.143529
"2006-06-21",8.248571,8.387143,8.185715,8.265715,215824000,7.192006
"2006-06-22",8.314285,8.535714,8.295714,8.511429,241408300,7.405802
"2006-06-23",8.531428,8.595715,8.39,8.404285,165050900,7.312576
"2006-06-26",8.452857,8.457143,8.338572,8.427143,116634000,7.332465
"2006-06-27",8.441428,8.46,8.2,8.204286,137652900,7.138557
"2006-06-28",8.184286,8.185715,7.915714,8.002857,212676100,6.963293
"2006-06-29",8.108571,8.441428,8.055715,8.424286,218349600,7.329978
"2006-06-30",8.227143,8.25,8.071428,8.181429,184923900,7.11867
"2006-07-03",8.217143,8.311429,8.191428,8.278571,48692700,7.203193
"2006-07-05",8.164286,8.228572,8.08,8.142858,129560200,7.085111
"2006-07-06",8.155714,8.2,7.944286,7.967143,158302200,6.93222
"2006-07-07",7.925714,8.078571,7.81,7.914286,199840200,6.886227
"2006-07-10",7.957143,8.07,7.785714,7.857143,132336400,6.836508
